Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,4.0
2001,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,4.0
2002,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,4.0
2003,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,4.0
2004,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,4.0
2005,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,4.0
2006,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2007,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2008,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2009,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2010,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2011,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2012,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2013,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2014,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2015,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2016,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
2017,E,0,Instituto dos Servicos de Veterinaria (ISV),ER_NOEX_LBREDN,24,NUMBER,2025-03-21T00:00:00,2024,,18.0
